306;5004;Cordoba;Cordoba - Villa Cabrera
307;5004;Cordoba;Cordoba - Yapeyu
308;5004;Cordoba;Cordoba - Yapeyu / A Gral Paz
309;5005;Cordoba;Cordoba
310;5006;Cordoba;Cordoba
311;5006;Cordoba;Cordoba - 1 De Mayo
312;5006;Cordoba;Cordoba - 1 De Mayo / Miralta
313;5006;Cordoba;Cordoba - Amp Empalme
314;5006;Cordoba;Cordoba - El Mirador
315;5006;Cordoba;Cordoba - Empalme Amp
316;5006;Cordoba;Cordoba - Ferriviario Mitre
317;5006;Cordoba;Cordoba - Los Ceibos
318;5006;Cordoba;Cordoba - Maldonado
319;5006;Cordoba;Cordoba - Mauller
320;5006;Cordoba;Cordoba - Parque San Vicente
321;5006;Cordoba;Cordoba - Renacimiento
322;5006;Cordoba;Cordoba - Renacimiento/1 De Mayo
323;5006;Cordoba;Cordoba - San Vicente
324;5006;Cordoba;Cordoba - San Vicente/Mauller
325;5007;Cordoba;Cordoba
326;5008;Cordoba;Cordoba
327;5008;Cordoba;Cordoba - El Condor
328;5008;Cordoba;Cordoba - Las Magnolias
329;5008;Cordoba;Cordoba - Las Margaritas
330;5008;Cordoba;Cordoba - Las Margaritas/A S Martin
331;5008;Cordoba;Cordoba - Lomas De San Martin
332;5008;Cordoba;Cordoba - Los Paraisos
333;5008;Cordoba;Cordoba - M De Sobremonte
334;5008;Cordoba;Cordoba - M Sobremonte
335;5008;Cordoba;Cordoba - Poeta Lugones
336;5008;Cordoba;Cordoba - San Martin
337;5008;Cordoba;Cordoba - San Martin Anexo
338;5008;Cordoba;Cordoba - San Martin N
339;5008;Cordoba;Cordoba - Villa Cabrera
340;5009;Cordoba;Cordoba
341;5009;Cordoba;Cordoba - A Centeno
342;5009;Cordoba;Cordoba - Alborada
343;5009;Cordoba;Cordoba - Alejandro Centeno
344;5009;Cordoba;Cordoba - Alto V Cabrera
345;5009;Cordoba;Cordoba - Alto Verde
346;5009;Cordoba;Cordoba - C Del Cerro
347;5009;Cordoba;Cordoba - Cerro Chico
348;5009;Cordoba;Cordoba - Cerro Las Rosas
349;5009;Cordoba;Cordoba - Col Del Cerro
350;5009;Cordoba;Cordoba - Colinas Del Cerro
351;5009;Cordoba;Cordoba - Las Margaritas/A S Martin
352;5009;Cordoba;Cordoba - Las Rosas
353;5009;Cordoba;Cordoba - Providencia - Villa Cabrera
354;5009;Cordoba;Cordoba - Santa Cecilia
355;5009;Cordoba;Cordoba - Tablada Park
356;5009;Cordoba;Cordoba - Urca
357;5009;Cordoba;Cordoba - V Centenario
358;5009;Cordoba;Cordoba - Villa Cabrera
359;5009;Cordoba;Cordoba - Villa Los Angeles
360;5009;Cordoba;Cordoba - Villa Marta
361;5010;Cordoba;Cordoba
362;5010;Cordoba;Cordoba - Aeronatico
363;5010;Cordoba;Cordoba - Aeronautico
364;5010;Cordoba;Cordoba - Ameghino Norte
365;5010;Cordoba;Cordoba - Avenida
366;5010;Cordoba;Cordoba - E Flores
367;5010;Cordoba;Cordoba - El Trebol
368;5010;Cordoba;Cordoba - Lamadrid
369;5010;Cordoba;Cordoba - Las Flores
370;5010;Cordoba;Cordoba - Los Granados
371;5010;Cordoba;Cordoba - Los Platanos
372;5010;Cordoba;Cordoba - Obrero
373;5010;Cordoba;Cordoba - San Francisco
374;5010;Cordoba;Cordoba - San Roque
375;5010;Cordoba;Cordoba - Santa Ana
376;5011;Cordoba;Cordoba
377;5011;Cordoba;Cordoba - Est Flores
378;5011;Cordoba;Cordoba - Estacion Flores
379;5011;Cordoba;Cordoba - Industrial
380;5011;Cordoba;Cordoba - Ivifa
381;5011;Cordoba;Cordoba - Parque Capital
382;5012;Cordoba;Cordoba
383;5012;Cordoba;Cordoba - Amp Residencial America
384;5012;Cordoba;Cordoba - Centro America
385;5012;Cordoba;Cordoba - General Savio
386;5012;Cordoba;Cordoba - Guayaquil
387;5012;Cordoba;Cordoba - Leandro N Alem
388;5012;Cordoba;Cordoba - Los Patricios Norte
389;5012;Cordoba;Cordoba - Nueva Italia
390;5012;Cordoba;Cordoba - Patricios
